Series,Description,Units,Obs,Missing,Mean,Std dev
DGS2,2-Year Treasury Yield,basis points,140,0,0.9857,5.1384
DGS10,10-Year Treasury Yield,basis points,140,0,0.7429,4.5
DGS3MO,3-Month Treasury Bill,basis points,140,0,0.3357,2.2364
T10YIE,Break-even Inflation (10-year),basis points,140,0,0.0571,2.2337
BAMLC0A4CBBB,BBB Corporate Spread (OAS),basis points,140,0,-0.0929,1.1561
BAMLH0A0HYM2,High-Yield Corporate Spread (OAS),basis points,140,0,-0.3,5.1352
^GSPC,S&P 500,percent,140,0,0.0759,0.8579
DX-Y.NYB,U.S. Dollar Index,percent,140,0,0.0188,0.3364
CL=F,WTI Crude Oil Futures,dollars,140,0,0.2377,4.0376
GC=F,Gold Futures,dollars,140,0,-5.8786,75.681
