Date,Representative headline,News vol (%),Articles,Direction,Regime
2026-03-02,,4.716,0,1.59,H_bad
2026-03-03,,3.621,0,1.65,H_bad
2026-03-04,Embassy attack signals dangerous escalation in widening Iran conflict – NaturalNews . com,3.333,1,1.77,H_bad
2026-03-09,"us iran war over : Is US Israel Iran war going to end soon , and will President Donald Trump no",3.101,1,1.18,H_bad
2026-03-10,War in the Middle East : latest developments,2.952,1,0.71,H_bad
2026-03-13,,3.061,0,1.1,H_bad
2026-03-23,Iran threatens to  completely  close Strait of Hormuz after Trump ultimatum,2.646,10,1.51,H_bad
2026-03-25,Trump Admin Sends 15 - Point Ceasefire Proposal to Iran Will Tehran Agree to a Ceasefire ? ,2.285,26,-0.88,H_good
2026-03-31,US attacks Iranian nuclear site while Tehran hits oil tanker off the Dubai coast,2.227,9,-0.23,H_good
2026-04-01,Israel under largest Iranian assault in weeks as missile salvo hits centre,2.507,23,-0.06,H_good
2026-04-02,"Trump claims Iran president wants ceasefire ; no response from Iran | News , Sports , Jobs",2.726,3,-0.27,H_good
2026-04-06,Iran and US review peace plan following Trump threat to  rain hell  ,3.172,0,0.03,H_bad
2026-04-08,US and Iran Agree to Ceasefire Hours Before Trump Deadline,4.682,31,-3.04,H_good
2026-04-09,US - Iran truce shows cracks as war flares in Lebanon,3.356,6,-1.96,H_good
2026-04-13,,3.408,0,-0.97,H_good
2026-05-08,"US and Iran exchange fire , but Trump says ceasefire still in effect",1.453,18,-0.57,H_good
2026-05-28,Kuwait says it faces a missile and drone attack,1.347,14,-0.32,H_good
2026-06-01,US and Iran exchange fire as negotiations stall,1.341,16,-0.27,H_good
2026-06-03,US launches  self - defence  strikes on Iranian island as tensions flare in Middle East,1.259,25,0.01,H_bad
2026-06-29,"Iran , US agree to halt attacks , renew talks",1.006,23,-0.88,H_good
2026-07-08,"Tehran targets Bahrain , Kuwait as US launches strikes ; limits sale of Iranian oilTrump threat",2.441,26,0.13,H_bad
2026-07-22,Trump Says U . S . Will Strike Iran Nuclear Facilities  Very Soon  - Jowhar News Leader,1.468,17,-0.14,H_good
2026-07-30,US Launches Strikes on Iranian Targets Day after it Foiled Missile Attack on American Forces,1.284,24,0.86,H_bad
2026-09-02,Iran launches retaliatory strikes as conflict escalates,1.048,24,0.85,H_bad
2026-09-09,Iran launches missiles at US targets in Jordan after US strikes,0.953,25,0.89,H_bad
